@RELATION crime

@ATTRIBUTE year NUMERIC
@ATTRIBUTE totalCrime NUMERIC

@DATA
1990,39773
1991,45165
1992,46744
1993,47466
1994,49720
1995,60638
1997,67036
1998,75646
1999,68883
2000,68075
2001,68133
2002,67409
2003,69314
2004,78759
2005,82638
2006,88335
2007,77059
2008,56104
2009,54304
2010,55959
2011,59249
2012,60367
2013,86800
2014,165562
2015,199976
2016,216920
2017,244714
2018,262612
2019,316261
2020,329124
2021,356050
