@RELATION crime

@ATTRIBUTE year NUMERIC
@ATTRIBUTE totalCrime NUMERIC

@DATA
1990,15257
1991,15959
1992,15870
1993,15615
1994,16008
1995,16996
1997,19712
1998,21072
1999,18889
2000,20792
2001,22502
2002,22841
2003,24235
2004,23829
2005,22850
2006,23603
2007,23825
2008,22549
2009,24008
2010,25272
2011,18875
2012,15937
2013,26907
2014,25453
2015,25310
2016,26624
2017,25608
2018,27276
2019,25408
2020,26342
2021,26001
