@RELATION crime

@ATTRIBUTE year NUMERIC
@ATTRIBUTE totalCrime NUMERIC

@DATA
1990,4680
1991,5604
1992,4485
1993,3949
1994,9819
1995,4776
1996,2469
1997,5664
1998,5401
1999,5811
2000,4160
2001,5201
2002,5441
2003,5777
2004,5990
2005,5794
2006,5684
2007,6232
2008,6093
2009,5823
2010,5016
2011,5766
2012,5478
2013,4509
2014,4582
2015,4109
2016,4885
2017,4799
2018,4674
2019,4004
2020,4884
2021,5226

