@RELATION crime

@ATTRIBUTE year NUMERIC
@ATTRIBUTE totalCrime NUMERIC

@DATA
1990,3017
1991,2738
1992,2647
1993,2704
1994,2070
1995,2246
1996,376
1997,2938
1998,3058
1999,3409
2000,3659
2001,4236
2002,4924
2003,6647
2004,7776
2005,7796
2006,7202
2007,6111
2008,5782
2009,6118
2010,5410
2011,4565
2012,2869
2013,2658
2014,2868
2015,3059
2016,2491
2017,3014
2018,3699
2019,4034
2020,4004
2021,4006
